category,annualMean,5yrSmooth
1901,25.9,25.9
1902,25.89,25.76
1903,25.67,25.64
1904,25.12,25.53
1905,25.45,25.44
1906,25.69,25.39
1907,25.4,25.38
1908,25.35,25.4
1909,25.59,25.44
1910,25.36,25.49
1911,25.35,25.54
1912,25.65,25.57
1913,25.45,25.58
1914,25.63,25.57
1915,26.03,25.55
1916,25.49,25.52
1917,25.2,25.5
1918,25.13,25.47
1919,25.65,25.45
1920,25.62,25.44
1921,25.41,25.44
1922,25.65,25.46
1923,25.29,25.48
1924,25.6,25.52
1925,25.42,25.57
1926,25.58,25.61
1927,25.68,25.66
1928,25.8,25.69
1929,25.44,25.72
1930,25.83,25.73
1931,26.15,25.75
1932,25.63,25.76
1933,25.83,25.77
1934,25.48,25.78
1935,25.76,25.79
1936,25.82,25.8
1937,25.95,25.81
1938,25.84,25.8
1939,25.73,25.79
1940,25.74,25.77
1941,25.84,25.75
1942,25.77,25.74
1943,25.64,25.74
1944,25.7,25.76
1945,25.65,25.79
1946,25.93,25.83
1947,26.11,25.87
1948,26.05,25.88
1949,25.64,25.87
1950,25.65,25.82
1951,25.7,25.76
1952,25.78,25.69
1953,25.73,25.62
1954,25.66,25.58
1955,25.42,25.57
1956,25.41,25.58
1957,25.76,25.61
1958,25.72,25.64
1959,25.69,25.65
1960,25.74,25.65
1961,25.6,25.63
1962,25.47,25.6
1963,25.32,25.56
1964,25.63,25.54
1965,25.48,25.53
1966,25.93,25.55
1967,25.4,25.58
1968,25.5,25.61
1969,25.81,25.65
1970,25.94,25.67
1971,25.3,25.69
1972,25.58,25.69
1973,25.87,25.69
1974,25.66,25.68
1975,25.66,25.68
1976,25.5,25.69
1977,25.85,25.72
1978,25.83,25.75
1979,25.92,25.79
1980,26,25.83
1981,25.66,25.88
1982,25.79,25.94
1983,26.14,25.99
1984,25.92,26.04
1985,26.03,26.08
1986,25.9,26.11
1987,26.42,26.13
1988,26.37,26.13
1989,25.95,26.13
1990,26.16,26.13
1991,26.17,26.13
1992,26.05,26.14
1993,26.15,26.16
1994,26.27,26.18
1995,26.13,26.2
1996,26,26.22
1997,26.12,26.25
1998,26.76,26.26
1999,26.18,26.28
2000,26.32,26.29
2001,26.34,26.29
2002,26.22,26.28
2003,26.07,26.26
2004,26.17,26.23
2005,26.27,26.21
2006,26.32,26.19
2007,26.34,26.17
2008,26.04,26.17
2009,26.08,26.17
2010,26.26,26.19
2011,26.02,26.22
2012,26.36,26.26
2013,26.36,26.3
2014,26.23,26.36
2015,26.45,26.41
2016,26.8,26.47
2017,26.35,26.53
2018,26.54,26.58
2019,26.6,26.63
2020,26.71,26.67
2021,26.68,26.71
2022,26.61,26.74
2023,26.91,26.78
